,,,,,,,
PL,NAME,YEAR,TEAM,Avg. Mile,TIME,SCORE,
67,Natnael Enright,JR-3,Arkansas State,05:01.3,24:57.9,66,LIVE IN LOU
68,Pierre Chauveau,FR-1,Lee (Tenn.),05:01.3,24:58.1,,LIVE IN LOU
69,Francisco Ramirez,SR-4,Flagler,05:01.5,24:59.0,67,LIVE IN LOU
70,Aaron Isbell,SR-4,Chattanooga,05:01.8,25:00.4,68,LIVE IN LOU
71,Buck Ledford,JR-3,Mercer,05:02.1,25:01.6,69,LIVE IN LOU
72,Jackson Martin,SO-2,Chattanooga,05:02.1,25:01.7,70,LIVE IN LOU
73,Alexander Das,SO-2,Illinois-Chicago,05:02.4,25:03.6,71,LIVE IN LOU
74,Zachary Close,FR-1,Illinois-Chicago,05:02.5,25:03.8,72,LIVE IN LOU
75,Joseph Carroll,FR-1,Cedarville,05:02.7,25:04.6,73,LIVE IN LOU
76,Ani Tesfaye,FR-1,Augusta,05:02.7,25:04.8,74,LIVE IN LOU
77,Owen MacKenzie,SR-4,Michigan,05:03.1,25:06.6,,LIVE IN LOU
78,Flynn Prather,SR-4,Olivet Nazarene,05:03.1,25:06.7,75,LIVE IN LOU
79,Yianni Pothoulakis,JR-3,Mercer,05:03.3,25:07.8,76,LIVE IN LOU
80,Luke Armentrout,FR-1,Charlotte,05:03.5,25:09.0,77,LIVE IN LOU
81,Jon Fielding Stogner,JR-3,Lee (Tenn.),05:03.7,25:09.6,,LIVE IN LOU
82,Rocco DeVincent,JR-3,Ohio,05:03.7,25:09.7,78,LIVE IN LOU
83,Caleb Guthery,SR-4,Lee (Tenn.),05:03.8,25:10.3,,LIVE IN LOU
84,Will Nobbe,FR-1,Bellarmine,05:03.9,25:10.6,79,LIVE IN LOU
85,Tripp Miller,SO-2,Augusta,05:03.9,25:11.0,80,LIVE IN LOU
86,Brandon Armendarez,SR-4,Olivet Nazarene,05:04.1,25:11.7,81,LIVE IN LOU
87,Shawn Little,SR-4,Shawnee State,05:04.2,25:12.4,82,LIVE IN LOU
88,Tyler Buchanan,SR-4,Wayne State (Mich.),05:04.3,25:12.7,83,LIVE IN LOU
89,Benjamin Brenneman,SO-2,Arkansas State,05:04.4,25:13.5,84,LIVE IN LOU
90,Nasrudin Mohamed,SO-2,Augusta,05:04.5,25:13.6,85,LIVE IN LOU
91,Clark Kelly,SR-4,North Central (Ill.),05:04.5,25:13.8,86,LIVE IN LOU
92,Evan Leist,SR-4,Cedarville,05:04.6,25:14.2,87,LIVE IN LOU
93,Paul Maguire,SO-2,Clemson,05:04.9,25:15.8,88,LIVE IN LOU
94,Josh Meiman,SR-4,Bellarmine,05:05.1,25:16.6,89,LIVE IN LOU
95,Patrick Motes,SR-4,Augusta,05:05.2,25:17.2,90,LIVE IN LOU
96,Luke Hoffmann,SR-4,North Central (Ill.),05:05.3,25:17.7,91,LIVE IN LOU
97,Alex Hooten,JR-3,Bellarmine,05:05.3,25:17.8,92,LIVE IN LOU
98,Nick Kennedy,SO-2,Ohio,05:05.3,25:17.9,93,LIVE IN LOU
99,Jake Ethridge,SR-4,Ohio,05:05.4,25:18.0,94,LIVE IN LOU
100,Kaleb Hollins,SO-2,Flagler,05:06.0,25:21.2,95,LIVE IN LOU
