,,,,,,,
PL,NAME,YEAR,TEAM,Avg. Mile,TIME,SCORE,
13,Christopher Lucas,JR-3,Xavier (Ohio),05:04.7,25:14.9,12,LIVE IN LOU
14,Ian Rouse,FR-1,Charlotte,05:04.8,25:15.2,13,LIVE IN LOU
15,Connor Vachon,SR-4,Hope,05:05.1,25:16.8,14,LIVE IN LOU
16,Will Garey,SR-4,Xavier (Ohio),05:05.2,25:17.5,15,LIVE IN LOU
17,Drew Allen,SR-4,Xavier (Ohio),05:05.4,25:18.4,16,LIVE IN LOU
18,Casey Padgett,SR-4,Duquesne,05:05.6,25:19.1,17,LIVE IN LOU
19,Colten Morris,SR-4,Robert Morris,05:05.9,25:20.8,18,LIVE IN LOU
20,Tyler Guthrie,SR-4,SIU Edwardsville,05:06.4,25:23.3,19,LIVE IN LOU
21,Stephen Fernetti,FR-1,Charlotte,05:06.5,25:23.7,20,LIVE IN LOU
22,Lukas Smithson,SR-4,Campbellsville,05:07.4,25:28.0,21,LIVE IN LOU
23,Neil Letellier,SR-4,Xavier (Ohio),05:07.4,25:28.2,22,LIVE IN LOU
24,Benjamin Shields,FR-1,Duquesne,05:07.8,25:30.1,23,LIVE IN LOU
25,Dalton Benefield,SO-2,Auburn Montgomery,05:07.8,25:30.3,24,LIVE IN LOU
26,Nathan Geyer,SO-2,Charlotte,05:08.1,25:31.7,25,LIVE IN LOU
27,Josiah Kocis,SR-4,Midway,05:08.2,25:32.2,26,LIVE IN LOU
28,Ethan Davis,SR-4,SCAD Savannah,05:08.3,25:32.7,27,LIVE IN LOU
29,Joel Forbes,JR-3,Cumberland (Tenn.),05:08.5,25:33.7,28,LIVE IN LOU
30,Benjamin Goulet,SR-4,Longwood,05:09.0,25:36.1,29,LIVE IN LOU
31,Nathaniel Woshner,JR-3,Duquesne,05:09.1,25:36.9,30,LIVE IN LOU
32,Jacob Kluckhohn,SR-4,North Central (Ill.),05:09.2,25:37.4,31,LIVE IN LOU
33,Martin Batel,FR-1,Campbellsville,05:09.5,25:38.4,32,LIVE IN LOU
34,Logan Zahn,FR-1,Lansing CC,05:09.6,25:39.2,33,LIVE IN LOU
35,Jackson Burch,SO-2,Charlotte,05:09.7,25:39.7,34,LIVE IN LOU
36,Ian Petruska,SO-2,Hope,05:09.7,25:39.8,35,LIVE IN LOU
37,Carson Milner,SO-2,Midway,05:09.8,25:40.1,36,LIVE IN LOU
38,Harrison Cunningham,FR-1,Xavier (Ohio),05:10.0,25:41.0,37,LIVE IN LOU
39,Carston Cole,JR-3,Hope,05:10.0,25:41.1,38,LIVE IN LOU
40,Jordyn Dillavou,JR-3,Longwood,05:10.2,25:41.9,39,LIVE IN LOU
41,Jackson Triplett,JR-3,Xavier (Ohio),05:10.4,25:42.9,40,LIVE IN LOU
42,Ishaan Patel,SR-4,North Central (Ill.),05:10.6,25:44.1,41,LIVE IN LOU
43,Mason Stewart,SO-2,Duquesne,05:10.7,25:44.6,42,LIVE IN LOU
44,Logan Begeman,FR-1,Hope,05:10.8,25:44.9,43,LIVE IN LOU
45,Sam Shimanskiy,JR-3,USC Upstate,05:10.9,25:45.8,44,LIVE IN LOU
46,Alex Benkart,SO-2,North Central (Ill.),05:11.0,25:46.2,45,LIVE IN LOU
47,Ryan Paris,JR-3,Robert Morris,05:11.1,25:46.6,46,LIVE IN LOU
48,Max Heins,SO-2,SCAD Savannah,05:11.5,25:48.7,47,LIVE IN LOU
49,Tyler Paszkowski,JR-3,Robert Morris,05:11.7,25:49.6,48,LIVE IN LOU
50,Ian Kelbert,JR-3,USC Upstate,05:11.7,25:49.8,49,LIVE IN LOU
51,Andrew Moore,SO-2,Eastern Kentucky,05:11.8,25:49.9,,LIVE IN LOU
52,Ryan Ososki,JR-3,Ferris State,05:12.0,25:51.1,50,LIVE IN LOU
53,Daniel Puckett,SO-2,Freed-Hardeman,05:12.2,25:52.2,51,LIVE IN LOU
54,Dylan Ellis,FR-1,Murray State,05:12.3,25:52.5,52,LIVE IN LOU
55,Cameron Nocton,JR-3,Indiana East,05:12.6,25:54.2,53,LIVE IN LOU
56,Teagen Rodriguez,JR-3,Indiana East,05:12.8,25:55.1,54,LIVE IN LOU
57,Holden Hough,FR-1,Southern Indiana,05:13.0,25:56.0,55,LIVE IN LOU
58,Eric Board,JR-3,Xavier (Ohio),05:13.0,25:56.3,,LIVE IN LOU
59,Tommaso Losma,SO-2,Evansville,05:13.3,25:57.4,56,LIVE IN LOU
60,Luke Droz,JR-3,Lawrence Tech,05:13.8,26:00.0,57,LIVE IN LOU
61,Seth Grogan,FR-1,Auburn Montgomery,05:14.0,26:00.9,58,LIVE IN LOU
62,Finn McKee,SO-2,Charlotte,05:14.1,26:01.5,59,LIVE IN LOU
63,Ryan Belanger,FR-1,Detroit Mercy,05:14.2,26:02.0,60,LIVE IN LOU
64,Jesse Carson,FR-1,Lansing CC,05:14.2,26:02.0,61,LIVE IN LOU
65,Zach Avenel,JR-3,Xavier (Ohio),05:14.3,26:02.6,,LIVE IN LOU
66,Gavin Vansolkema,JR-3,Ferris State,05:14.5,26:03.4,62,LIVE IN LOU
67,Aiden Amshoff,JR-3,Xavier (Ohio),05:14.6,26:04.2,,LIVE IN LOU
68,Owen Dare,JR-3,North Central (Ill.),05:14.7,26:04.6,63,LIVE IN LOU
69,Axton Fosnaugh,FR-1,Indiana East,05:14.9,26:05.5,64,LIVE IN LOU
70,Jarod Willis,SR-4,Murray State,05:15.2,26:06.8,65,LIVE IN LOU
71,Edwin Kigen,JR-3,Cumberland (Tenn.),05:15.3,26:07.6,66,LIVE IN LOU
72,Donovan Slattery,SR-4,SCAD Savannah,05:15.4,26:08.2,67,LIVE IN LOU
73,Jake Younger,FR-1,Western Kentucky,05:15.6,26:09.1,68,LIVE IN LOU
74,Ryan Keeton,SR-4,Union (Tenn.),05:15.8,26:09.8,69,LIVE IN LOU
75,Kyle Nofziger,JR-3,North Central (Ill.),05:15.9,26:10.3,70,LIVE IN LOU
76,Cooper Jacobsen,FR-1,Hope,05:15.9,26:10.4,71,LIVE IN LOU
77,Ben Knuth,SO-2,Ferris State,05:16.0,26:11.2,72,LIVE IN LOU
78,Woody Burrell,SO-2,Evansville,05:16.2,26:11.8,73,LIVE IN LOU
79,Jackson Edwards,SR-4,SIU Edwardsville,05:16.2,26:12.0,74,LIVE IN LOU
80,Chad Perrine,JR-3,Hope,05:16.5,26:13.6,75,LIVE IN LOU
81,Hunter Assenmacher,SR-4,Lawrence Tech,05:16.6,26:14.0,76,LIVE IN LOU
82,Ben Colli,JR-3,Duquesne,05:16.7,26:14.5,77,LIVE IN LOU
83,Liam King,SR-4,Young Harris,05:16.7,26:14.7,78,LIVE IN LOU
84,Elias Kretchmar,FR-1,Hope,05:16.8,26:14.8,79,LIVE IN LOU
85,Nathan Wentling,SO-2,Robert Morris,05:16.8,26:15.1,80,LIVE IN LOU
86,Adam Oulgout,SR-4,Evansville,05:16.9,26:15.3,81,LIVE IN LOU
87,Roman Galioto,SO-2,Robert Morris,05:17.5,26:18.3,82,LIVE IN LOU
88,Noah Griffith,SR-4,Ferris State,05:17.5,26:18.3,83,LIVE IN LOU
89,Jonathan Harlow,SR-4,Hope,05:17.9,26:20.2,,LIVE IN LOU
90,Bryce Chamberlin,SO-2,North Central (Ill.),05:17.9,26:20.6,84,LIVE IN LOU
91,Christopher Russelburg,SO-2,Detroit Mercy,05:18.0,26:20.8,85,LIVE IN LOU
92,Lucas Guidone,SR-4,Hope,05:18.0,26:20.9,,LIVE IN LOU
93,Brayden Figgins,FR-1,Young Harris,05:18.0,26:21.0,86,LIVE IN LOU
94,Chris Kardos,FR-1,Xavier (Ohio),05:18.0,26:21.1,,LIVE IN LOU
95,Richard Bower,JR-3,Indiana East,05:18.3,26:22.3,87,LIVE IN LOU
96,Bo Scott,JR-3,Freed-Hardeman,05:18.3,26:22.6,88,LIVE IN LOU
97,Jared Sandfoss,SO-2,Western Kentucky,05:18.5,26:23.5,89,LIVE IN LOU
98,Daniel Campbell,SR-4,Hope,05:18.5,26:23.6,,LIVE IN LOU
99,Cedrik Flipo,SO-2,Evansville,05:18.7,26:24.6,90,LIVE IN LOU
100,Barrett Poe,SO-2,Freed-Hardeman,05:19.0,26:25.7,91,LIVE IN LOU
101,Tom Schroeder,JR-3,SCAD Savannah,05:19.1,26:26.5,92,LIVE IN LOU
102,Anthony Ciecierski,FR-1,Duquesne,05:19.2,26:26.7,93,LIVE IN LOU
103,Dakota Brady,SR-4,Campbellsville,05:19.2,26:27.0,94,LIVE IN LOU
104,Tristan Kelly,SR-4,Union (Tenn.),05:19.3,26:27.3,95,LIVE IN LOU
105,Gabe Herron,SR-4,USC Upstate,05:19.3,26:27.3,96,LIVE IN LOU
106,Jean-Benoit Merte,SR-4,Campbellsville,05:19.5,26:28.3,97,LIVE IN LOU
107,Gabe Russell,SO-2,Murray State,05:19.8,26:30.0,98,LIVE IN LOU
108,Samuel de la Riva,SO-2,Duquesne,05:20.3,26:32.6,99,LIVE IN LOU
109,Connor Stoots,SR-4,Auburn Montgomery,05:20.7,26:34.1,100,LIVE IN LOU
110,Hollis Johnson,JR-3,Western Kentucky,05:20.8,26:34.8,101,LIVE IN LOU
111,Owen Christy,SO-2,North Central (Ill.),05:21.0,26:35.8,102,LIVE IN LOU
112,Brady Thomas,SR-4,Auburn Montgomery,05:21.0,26:35.9,103,LIVE IN LOU
113,Carter Walsman,SO-2,Indiana East,05:21.0,26:36.0,104,LIVE IN LOU
114,Akot Tong,FR-1,Indiana East,05:21.1,26:36.1,105,LIVE IN LOU
115,Silas Smith,FR-1,Lawrence Tech,05:21.1,26:36.5,106,LIVE IN LOU
116,Owen Dressler,FR-1,Robert Morris,05:21.2,26:36.8,107,LIVE IN LOU
117,Tyler King,SR-4,Hope,05:21.3,26:37.4,,LIVE IN LOU
118,Michael Banks,FR-1,Auburn Montgomery,05:21.4,26:38.0,108,LIVE IN LOU
119,Drew Jones,JR-3,Southern Wesleyan,05:21.8,26:39.7,109,LIVE IN LOU
120,JJ Varner,JR-3,Cedarville,05:21.8,26:40.0,110,LIVE IN LOU
121,Kenny Lashaway,SR-4,Detroit Mercy,05:21.8,26:40.0,111,LIVE IN LOU
122,Jacob Bayes,FR-1,Robert Morris,05:22.0,26:40.6,112,LIVE IN LOU
123,Kaden Reeder,JR-3,Southern Wesleyan,05:22.0,26:40.6,113,LIVE IN LOU
124,Aaron Bowerman,JR-3,Ferris State,05:22.1,26:41.2,114,LIVE IN LOU
125,Elliott Hughes,SR-4,Cumberland (Tenn.),05:22.4,26:42.7,115,LIVE IN LOU
126,Aiden Janes,FR-1,Lansing CC,05:22.5,26:43.2,116,LIVE IN LOU
127,Aidan Peterson,SR-4,Cedarville,05:22.7,26:44.3,117,LIVE IN LOU
128,Myles Smithson,JR-3,Campbellsville,05:22.8,26:44.8,118,LIVE IN LOU
129,Will Negley,FR-1,Xavier (Ohio),05:23.0,26:45.6,,LIVE IN LOU
130,Ben March,FR-1,Lansing CC,05:23.0,26:46.0,119,LIVE IN LOU
131,Chase Dietrich,JR-3,Lawrence Tech,05:23.2,26:47.0,120,LIVE IN LOU
132,Jacob Bonnar,FR-1,Duquesne,05:23.3,26:47.1,,LIVE IN LOU
133,Josiah Burr,SR-4,Detroit Mercy,05:23.5,26:48.1,121,LIVE IN LOU
134,Caleb Wynn,FR-1,Detroit Mercy,05:23.5,26:48.4,122,LIVE IN LOU
135,Jack Barnhisel,JR-3,Duquesne,05:24.0,26:50.6,,LIVE IN LOU
136,Conner Uppleger,SR-4,Lawrence Tech,05:24.1,26:51.1,123,LIVE IN LOU
137,Wade Balcom,JR-3,Western Kentucky,05:24.3,26:52.2,124,LIVE IN LOU
138,Saad Khan,SR-4,Longwood,05:24.3,26:52.3,125,LIVE IN LOU
139,Lucas Hopkins,FR-1,Lansing CC,05:24.4,26:52.7,126,LIVE IN LOU
140,Cameron Bogdan,SO-2,Duquesne,05:24.4,26:53.0,,LIVE IN LOU
141,Erickson Kunzler,JR-3,Hope,05:24.5,26:53.2,,LIVE IN LOU
142,Trevor Hudnall,SO-2,Western Kentucky,05:24.5,26:53.3,127,LIVE IN LOU
143,Conner Walser,FR-1,Indiana East,05:24.7,26:54.0,,LIVE IN LOU
144,Michael House,SO-2,Western Kentucky,05:24.7,26:54.1,128,LIVE IN LOU
145,Austin Dezwart,FR-1,Young Harris,05:25.1,26:56.2,129,LIVE IN LOU
146,Sam Bennett,SR-4,Campbellsville,05:25.1,26:56.4,130,LIVE IN LOU
147,Logan Luttrell,FR-1,SIU Edwardsville,05:25.3,26:57.2,131,LIVE IN LOU
148,Nicholas Yaquinto,FR-1,Detroit Mercy,05:25.3,26:57.3,132,LIVE IN LOU
149,Michael Allen,FR-1,Lansing CC,05:25.4,26:57.8,133,LIVE IN LOU
150,Noah Mason,JR-3,Young Harris,05:25.5,26:58.0,134,LIVE IN LOU
151,Eric Perry,SO-2,USC Upstate,05:25.5,26:58.3,135,LIVE IN LOU
152,Hayden Mullett,SR-4,Grace,05:25.5,26:58.4,136,LIVE IN LOU
153,James Couch,FR-1,Robert Morris,05:26.1,27:01.4,,LIVE IN LOU
154,Wyatt Beck,JR-3,Indiana East,05:26.4,27:02.6,,LIVE IN LOU
155,Sean Sanchez,FR-1,Mars Hill,05:26.7,27:04.1,137,LIVE IN LOU
156,Josh Oom,SO-2,Ferris State,05:26.9,27:05.0,138,LIVE IN LOU
157,Tanner Emerson,FR-1,SIU Edwardsville,05:27.0,27:05.4,139,LIVE IN LOU
158,Tyler Pfefferkorn,FR-1,Western Kentucky,05:27.1,27:06.0,140,LIVE IN LOU
159,Jeremy Bavaro,SO-2,Cedarville,05:27.3,27:07.4,141,LIVE IN LOU
160,Finn Christensen-Kraft,FR-1,Cedarville,05:27.4,27:07.6,142,LIVE IN LOU
161,Brandon McNulty,FR-1,Mars Hill,05:27.4,27:07.7,143,LIVE IN LOU
162,Nathan Quinn,SR-4,Murray State,05:27.8,27:09.7,144,LIVE IN LOU
163,Brayden Kaelin,FR-1,Campbellsville,05:27.9,27:10.1,,LIVE IN LOU
164,Carter Dean,SO-2,Hope,05:28.0,27:10.5,,LIVE IN LOU
165,Alexander Potter,FR-1,Young Harris,05:28.1,27:11.0,145,LIVE IN LOU
166,Magnus Polkner,FR-1,Wheeling,05:28.1,27:11.2,,LIVE IN LOU
167,Koda Brandt,SO-2,Lansing CC,05:28.2,27:11.7,146,LIVE IN LOU
168,Mark Foster,SR-4,Auburn Montgomery,05:28.2,27:11.7,147,LIVE IN LOU
169,Cates Duncan,FR-1,Western Kentucky,05:28.5,27:13.1,,LIVE IN LOU
170,Nathan Alford,SR-4,Ferris State,05:28.6,27:13.4,,LIVE IN LOU
171,Drew Williams,SR-4,Freed-Hardeman,05:28.7,27:14.2,148,LIVE IN LOU
172,Lewis Kaufmann,JR-3,Southern Indiana,05:28.7,27:14.3,149,LIVE IN LOU
173,Tristan Ashley,JR-3,Hope,05:28.8,27:14.7,,LIVE IN LOU
174,KJ Popiel,SO-2,Detroit Mercy,05:28.9,27:15.2,,LIVE IN LOU
175,Grady Clark,SO-2,Southern Wesleyan,05:29.4,27:17.7,150,LIVE IN LOU
176,Matteo Abel,FR-1,Cumberland (Tenn.),05:29.4,27:17.8,151,LIVE IN LOU
177,Joey Schwindt,SO-2,Lansing CC,05:29.6,27:18.6,,LIVE IN LOU
178,Brexton Hathaway,FR-1,Auburn Montgomery,05:29.6,27:18.6,152,LIVE IN LOU
179,DeAndre Hall,JR-3,Indiana East,05:29.8,27:19.6,,LIVE IN LOU
180,Julian Edwards,SO-2,Lansing CC,05:29.9,27:20.2,,LIVE IN LOU
181,Clinton Clancy,SO-2,Longwood,05:30.0,27:20.4,153,LIVE IN LOU
182,Daniel Schalk,JR-3,Murray State,05:30.1,27:20.8,154,LIVE IN LOU
183,Graeson Lawrence,FR-1,Lawrence Tech,05:30.1,27:21.1,155,LIVE IN LOU
184,Connor Herold,SO-2,USC Upstate,05:30.1,27:21.3,156,LIVE IN LOU
185,Andrew Potter,FR-1,Evansville,05:30.3,27:22.1,157,LIVE IN LOU
186,Jason Heusinger,FR-1,USC Upstate,05:30.4,27:22.3,158,LIVE IN LOU
187,Jeb Hamilton,FR-1,Union (Tenn.),05:30.4,27:22.4,159,LIVE IN LOU
188,Nick Brooks,FR-1,USC Upstate,05:30.4,27:22.4,160,LIVE IN LOU
189,Griffin Armbrustmacher,JR-3,Lawrence Tech,05:30.4,27:22.6,161,LIVE IN LOU
190,Louis Starr,FR-1,Charleston (W.V.),05:30.9,27:24.8,,LIVE IN LOU
191,Blake Ferguson,FR-1,Ferris State,05:31.4,27:27.3,,LIVE IN LOU
192,Matthew Schrauben,FR-1,Lansing CC,05:31.6,27:28.4,,LIVE IN LOU
193,Ben Scott,SO-2,Ferris State,05:31.6,27:28.7,,LIVE IN LOU
194,Levi Robinson,SR-4,Cedarville,05:31.9,27:29.8,162,LIVE IN LOU
195,Landon Mayfield,JR-3,Southern Wesleyan,05:32.1,27:31.2,163,LIVE IN LOU
196,Gabe Reynolds,FR-1,Indiana East,05:32.4,27:32.6,,LIVE IN LOU
197,Chris Post,SR-4,USC Upstate,05:32.8,27:34.6,,LIVE IN LOU
198,Gavin Thompson,SO-2,Southern Indiana,05:33.0,27:35.3,164,LIVE IN LOU
199,Shane Levesque,SO-2,Wheeling,05:33.0,27:35.3,,LIVE IN LOU
200,Cameron Pierce,SO-2,Lansing CC,05:33.2,27:36.6,,LIVE IN LOU
201,Parker Smith,FR-1,Western Kentucky,05:33.3,27:37.0,,LIVE IN LOU
202,D'Andre Watson,JR-3,SIU Edwardsville,05:33.5,27:38.0,165,LIVE IN LOU
203,Ryun Hoffert,SO-2,Grace,05:33.5,27:38.0,166,LIVE IN LOU
204,Kadin McAllister,FR-1,Evansville,05:33.6,27:38.4,,LIVE IN LOU
205,Eli Taylor,FR-1,Mars Hill,05:33.8,27:39.6,167,LIVE IN LOU
206,Trevor Billingsley,JR-3,Cedarville,05:34.1,27:41.2,168,LIVE IN LOU
207,Ethan Pettyjohn,SR-4,Longwood,05:34.2,27:41.3,169,LIVE IN LOU
208,Aaron Smith,SO-2,Campbellsville,05:34.3,27:41.7,,LIVE IN LOU
209,Micah Katz,FR-1,Cedarville,05:34.3,27:42.0,170,LIVE IN LOU
210,Conner Fountain,FR-1,Lansing CC,05:34.7,27:44.1,,LIVE IN LOU
211,Tim Peterson,SO-2,Hope,05:34.9,27:44.8,,LIVE IN LOU
212,Taylor Plank,SO-2,Cedarville,05:35.3,27:47.0,,LIVE IN LOU
213,David Fuller,SR-4,SCAD Savannah,05:35.3,27:47.1,171,LIVE IN LOU
214,Blake Brown,JR-3,Freed-Hardeman,05:35.6,27:48.5,172,LIVE IN LOU
215,Samuel Larson,SO-2,Campbellsville,05:35.6,27:48.6,,LIVE IN LOU
216,Ashwin Philip,SR-4,Detroit Mercy,05:36.0,27:50.3,,LIVE IN LOU
217,Ryan Allspach,SR-4,Hope,05:36.1,27:50.9,,LIVE IN LOU
218,Denis Kale,SO-2,Indiana East,05:36.2,27:51.5,,LIVE IN LOU
219,Nathan Garrett,FR-1,Cedarville,05:36.2,27:51.6,,LIVE IN LOU
220,Caleb Cook,SR-4,Union (Tenn.),05:36.3,27:51.7,173,LIVE IN LOU
221,John Young,FR-1,Grace,05:36.3,27:51.7,174,LIVE IN LOU
222,Matthew O'Connor,FR-1,Mars Hill,05:36.4,27:52.2,175,LIVE IN LOU
223,Douglas Dillman,FR-1,Grace,05:36.4,27:52.2,176,LIVE IN LOU
224,Misha Wiley,SR-4,Longwood,05:36.4,27:52.3,177,LIVE IN LOU
225,Andrew Baum,SO-2,Young Harris,05:36.5,27:52.8,178,LIVE IN LOU
226,Andrew Spencer,Senior,Cedarville,05:36.7,27:54.0,,LIVE IN LOU
227,Javier Roldan,JR-3,Longwood,05:36.9,27:54.7,179,LIVE IN LOU
228,Caleb Richardson,FR-1,Southern Wesleyan,05:37.0,27:55.2,180,LIVE IN LOU
229,Max Lewis,FR-1,Hope,05:37.1,27:55.7,,LIVE IN LOU
230,Ethan Garcia,JR-3,Cumberland (Tenn.),05:37.2,27:56.5,181,LIVE IN LOU
231,Joshua Kocis,SO-2,Midway,05:37.7,27:58.9,182,LIVE IN LOU
232,Kellen Hottell,SO-2,Murray State,05:37.7,27:59.0,183,LIVE IN LOU
233,Owen Cuplin,SO-2,Evansville,05:37.9,27:59.9,,LIVE IN LOU
234,Joe Waalkes,FR-1,Hope,05:38.3,28:01.9,,LIVE IN LOU
235,Cullen Krieg,SO-2,SIU Edwardsville,05:38.4,28:02.5,184,LIVE IN LOU
236,Ben Crask,SO-2,Murray State,05:38.5,28:02.8,185,LIVE IN LOU
237,Andrew Pace,FR-1,Southern Indiana,05:38.6,28:03.5,186,LIVE IN LOU
238,Christopher Sullivan,SO-2,Young Harris,05:38.7,28:03.8,187,LIVE IN LOU
239,Ethan Grevengoed,SO-2,Hope,05:38.7,28:03.9,,LIVE IN LOU
240,Shane Pitcher,SO-2,Hope,05:39.3,28:06.9,,LIVE IN LOU
241,Braxton Cummings,JR-3,Mars Hill,05:39.5,28:07.9,188,LIVE IN LOU
242,Cameron Moors,FR-1,USC Upstate,05:40.0,28:10.1,,LIVE IN LOU
243,Ashton Weaver,SR-4,Charleston (W.V.),05:40.2,28:11.2,,LIVE IN LOU
244,Sawyer Cripps,FR-1,Mars Hill,05:40.3,28:11.8,189,LIVE IN LOU
245,Tyler Vandierdonck,SO-2,Detroit Mercy,05:40.4,28:12.0,,LIVE IN LOU
246,Ethan Hall,JR-3,Southern Indiana,05:40.5,28:12.7,190,LIVE IN LOU
247,Brock Windham,SO-2,Freed-Hardeman,05:40.6,28:13.5,191,LIVE IN LOU
248,Alec Daniel,SR-4,Longwood,05:40.8,28:14.0,,LIVE IN LOU
249,Nick Fringer,SR-4,Detroit Mercy,05:41.0,28:15.4,,LIVE IN LOU
250,Alex Eplin,FR-1,Lawrence Tech,05:41.1,28:15.8,,LIVE IN LOU
251,Isaac Cinnamon,SO-2,SCAD Savannah,05:41.2,28:16.3,192,LIVE IN LOU
252,Charles Fuerneisen,FR-1,Mars Hill,05:41.2,28:16.4,193,LIVE IN LOU
253,Elijah Jorgensen,SO-2,Detroit Mercy,05:41.8,28:19.1,,LIVE IN LOU
254,Jackson Custer,SO-2,Murray State,05:42.3,28:21.5,,LIVE IN LOU
255,Noah Norris,FR-1,Hope,05:42.8,28:24.1,,LIVE IN LOU
256,Aiden Brzezinski,JR-3,Lawrence Tech,05:43.0,28:25.1,,LIVE IN LOU
257,Ty McPhatter,FR-1,Grace,05:43.2,28:26.1,194,LIVE IN LOU
258,Brayden Boyd,JR-3,Robert Morris,05:43.6,28:28.3,,LIVE IN LOU
259,Brandon Wright,SO-2,Mars Hill,05:44.0,28:30.0,,LIVE IN LOU
260,Smith Carter,FR-1,Cumberland (Tenn.),05:44.0,28:30.1,195,LIVE IN LOU
261,Luke Burton,JR-3,Campbellsville,05:44.4,28:32.0,,LIVE IN LOU
262,Ben Dawson,JR-3,Lawrence Tech,05:44.4,28:32.3,,LIVE IN LOU
263,Hunter Tomich,JR-3,Wheeling,05:44.5,28:32.7,,LIVE IN LOU
264,Lance Logan,FR-1,Midway,05:45.7,28:38.5,196,LIVE IN LOU
265,Gavin Ashby,FR-1,Indiana East,05:46.5,28:42.5,,LIVE IN LOU
266,Andrew Pries,SR-4,Detroit Mercy,05:46.6,28:42.9,,LIVE IN LOU
267,Riley Garrison,SO-2,Union (Tenn.),05:47.3,28:46.6,197,LIVE IN LOU
268,Kyle Robinson,SO-2,Grace,05:48.3,28:51.5,198,LIVE IN LOU
269,Noah Jinks,FR-1,Union (Tenn.),05:48.6,28:52.9,199,LIVE IN LOU
270,Matthew O'Shea,FR-1,Charleston (W.V.),05:48.6,28:53.1,,LIVE IN LOU
271,Andrew Wrenn,JR-3,Freed-Hardeman,05:48.9,28:54.5,200,LIVE IN LOU
272,Connor Byrd,SO-2,Midway,05:49.0,28:55.0,201,LIVE IN LOU
273,Luke Livingston,SR-4,Robert Morris,05:49.1,28:55.7,,LIVE IN LOU
274,Elias Harrison,SO-2,USC Upstate,05:49.2,28:56.2,,LIVE IN LOU
275,Kaden Mosely,FR-1,Union (Tenn.),05:49.4,28:56.8,202,LIVE IN LOU
276,Stewart Brown,SO-2,Union (Tenn.),05:49.5,28:57.6,,LIVE IN LOU
277,Benjamin Blackwood,JR-3,Union (Tenn.),05:50.6,29:03.0,,LIVE IN LOU
278,Gabe Klein,FR-1,Grace,05:51.1,29:05.5,203,LIVE IN LOU
279,Andrew Davis,SR-4,Southern Wesleyan,05:51.3,29:06.3,204,LIVE IN LOU
280,Landen Barron,FR-1,USC Upstate,05:51.4,29:07.1,,LIVE IN LOU
281,Joe Kadluboski,SO-2,Lansing CC,05:53.0,29:14.9,,LIVE IN LOU
282,Luke Winkleman,SO-2,Union (Tenn.),05:53.1,29:15.5,,LIVE IN LOU
283,Lucas Black,FR-1,Freed-Hardeman,05:53.2,29:16.1,,LIVE IN LOU
284,Zachary Lynch,FR-1,Campbellsville,05:53.9,29:19.6,,LIVE IN LOU
285,Jack Willenborg,FR-1,SIU Edwardsville,05:54.2,29:20.8,205,LIVE IN LOU
286,Gabe Land,FR-1,Southern Indiana,05:55.1,29:25.5,206,LIVE IN LOU
287,Tyler Rogers,SR-4,Young Harris,05:55.7,29:28.2,,LIVE IN LOU
288,Jackson Sinicropi,FR-1,Lansing CC,05:55.8,29:28.7,,LIVE IN LOU
289,Benjamin Graf,SR-4,Campbellsville,05:56.1,29:30.3,,LIVE IN LOU
290,Harrison Wealing,JR-3,Grace,05:56.1,29:30.5,,LIVE IN LOU
291,Jonathan Litscher,SO-2,Union (Tenn.),05:56.3,29:31.5,,LIVE IN LOU
292,Hudson Fisher,SO-2,Grace,05:56.4,29:31.7,,LIVE IN LOU
293,Oliver Wilgocki,FR-1,Evansville,05:56.8,29:33.6,,LIVE IN LOU
294,Joey Santoro,JR-3,Murray State,05:57.1,29:35.4,,LIVE IN LOU
295,Connor Messer,FR-1,Midway,05:57.8,29:38.8,207,LIVE IN LOU
296,Brandon Irvin,JR-3,Campbellsville,05:58.0,29:39.6,,LIVE IN LOU
297,Thomas Macagg,SR-4,Southern Wesleyan,05:59.2,29:45.7,,LIVE IN LOU
298,Tomas Rampe,SO-2,Lansing CC,06:01.6,29:57.7,,LIVE IN LOU
299,Jose Quinones,SR-4,Grace,06:03.4,30:06.8,,LIVE IN LOU
300,Aiden Dispennette,FR-1,Indiana East,06:03.6,30:07.4,,LIVE IN LOU
301,Joshua Mayhugh,FR-1,Cumberland (Tenn.),06:06.1,30:20.0,,LIVE IN LOU
302,Blake Stanton,SR-4,Charleston (W.V.),06:06.4,30:21.7,,LIVE IN LOU
303,Jay Hunt,FR-1,Freed-Hardeman,06:07.2,30:25.5,,LIVE IN LOU
304,John Locke,JR-3,Southern Wesleyan,06:07.8,30:28.4,,LIVE IN LOU
305,Max Berkey,JR-3,Cumberland (Tenn.),06:09.1,30:35.1,,LIVE IN LOU
306,Luke Schramm,SO-2,Grace,06:09.2,30:35.3,,LIVE IN LOU
307,Christian Reid,SO-2,Longwood,06:10.0,30:39.7,,LIVE IN LOU
308,William Craig,SR-4,Union (Tenn.),06:10.4,30:41.7,,LIVE IN LOU
309,Ethan Marchman,JR-3,Southern Wesleyan,06:10.6,30:42.3,,LIVE IN LOU
310,Steven Meyer,FR-1,Midway,06:11.3,30:46.0,,LIVE IN LOU
311,Walter Tanui,SR-4,Cumberland (Tenn.),06:14.4,31:01.3,,LIVE IN LOU
312,Caleb Nichols,SO-2,Grace,06:14.5,31:01.9,,LIVE IN LOU
